date,temperature_2m,wind_speed_10m,rain,snowfall,precipitation,wind_speed_100m,year,month,day,hour,day_of_week,is_weekend,time_of_day,season,temperature_category,temperature_delta,is_comfortable_temp,wind_category,wind_ratio,is_windy,has_precipitation,is_rainy,is_snowy,precipitation_category,feels_like_temp,weather_severity,is_good_biking_weather
2023-10-08 08:00:00+00:00,9.9725,18.0036,0.0,0.0,0.0,32.59939,2023,10,8,8,6,1,Morning,Fall,Cold,-0.3499999999999996,0,Strong,1.810715079206381,1,0,0,0,,7.5412638130829635,5.80036,0
2023-09-02 19:00:00+00:00,25.5225,18.289274,0.0,0.0,0.0,22.963936,2023,9,2,19,5,1,Evening,Fall,Warm,-1.1999999999999993,0,Strong,1.2555958208073217,1,0,0,0,,25.5225,5.8289274,0
2023-09-06 00:00:00+00:00,28.3725,6.924738,0.0,0.0,0.0,8.311245,2023,9,6,0,2,0,Night,Fall,Warm,-2.75,0,Light breeze,1.200225192635447,0,0,0,0,,28.3725,4.6924738,0
2023-06-15 21:00:00+00:00,25.5225,20.447239,0.0,0.0,0.0,27.36947,2023,6,15,21,3,0,Evening,Summer,Warm,-0.4499999999999993,0,Storm,1.33854111061156,1,0,0,0,,25.5225,6.0447239,0
2023-07-26 16:00:00+00:00,28.822498,5.0142193,0.0,0.0,0.0,6.151683,2023,7,26,16,2,0,Afternoon,Summer,Warm,1.25,0,Light breeze,1.2268476171355331,0,0,0,0,,28.822498,4.50142193,0
2023-11-19 12:00:00+00:00,0.8725,8.049845,0.0,0.0,0.0,21.602999,2023,11,19,12,6,1,Afternoon,Fall,Cold,-0.2500000999999998,0,Light breeze,2.6836540330900784,0,0,0,0,,-1.7287585008760076,4.8049845,0
2023-03-26 10:00:00+00:00,5.4725,18.486622,0.0,0.0,0.0,34.03476,2023,3,26,10,6,1,Morning,Spring,Cold,-1.0499999999999998,0,Strong,1.841048083311272,1,0,0,0,,1.8490581875400327,5.8486622,0
2023-09-20 23:00:00+00:00,18.4725,9.83268,0.0,0.0,0.0,12.72283,2023,9,20,23,2,0,Evening,Fall,Mild,-3.649999999999999,1,Light breeze,1.2939330884357063,0,0,0,0,,18.4725,0.983268,1
2023-10-17 20:00:00+00:00,16.572498,7.8954163,0.0,0.0,0.0,10.163227,2023,10,17,20,1,0,Evening,Fall,Mild,-0.0500019999999992,1,Light breeze,1.287231301533777,0,0,0,0,,16.572498,0.78954163,1
2023-01-22 11:00:00+00:00,-1.3774999,4.5820518,0.0,0.0,0.0,8.473393,2023,1,22,11,6,1,Morning,Winter,Freezing,2.2,0,Calm,1.8492573567151729,0,0,0,0,,-2.938321968962689,4.45820518,0
2023-06-02 18:00:00+00:00,29.672499,15.175612,0.0,0.0,0.0,17.399586,2023,6,2,18,4,0,Evening,Summer,Warm,-0.8500010000000024,0,Strong,1.1465492133035555,1,0,0,0,,29.672499,5.517561199999999,0
2023-09-18 06:00:00+00:00,19.072498,4.5536795,0.2,0.0,0.2,11.988594,2023,9,18,6,0,0,Morning,Fall,Mild,0.1499990000000011,1,Calm,2.632726787205819,0,1,1,0,Light,19.072498,0.85536795,0
2023-11-27 22:00:00+00:00,7.2725,17.227419,0.0,0.0,0.0,29.660152,2023,11,27,22,0,0,Evening,Fall,Cold,-1.4500000000000002,0,Strong,1.7216828591677025,1,0,0,0,,4.257844642629219,5.7227419,0
2023-12-07 11:00:00+00:00,-3.5275,9.3669195,0.0,0.0,0.0,22.314194,2023,12,7,11,3,0,Morning,Winter,Freezing,-0.2999999999999998,0,Light breeze,2.3822339884526604,0,0,0,0,,-7.336538816845071,4.93669195,0
2023-05-22 13:00:00+00:00,18.2725,13.708391,0.0,0.0,0.0,17.811815,2023,5,22,13,0,0,Afternoon,Spring,Mild,2.0,1,Moderate,1.2993366617570214,0,0,0,0,,18.2725,1.3708391,1
2023-12-14 06:00:00+00:00,-1.2774999,11.384198,0.0,0.0,0.0,26.250393,2023,12,14,6,3,0,Morning,Winter,Freezing,-0.2499998999999999,0,Moderate,2.3058623014111315,0,0,0,0,,-5.200575806356306,5.138419799999999,0
2023-07-08 04:00:00+00:00,23.3725,4.32,0.0,0.0,0.0,9.726665,2023,7,8,4,5,1,Night,Summer,Warm,-0.4000000000000021,1,Calm,2.251542824074074,0,0,0,0,,23.3725,0.432,1
2023-09-26 07:00:00+00:00,14.4725,21.817902,1.3,0.0,1.3,35.39186,2023,9,26,7,1,0,Morning,Fall,Mild,-0.1999999999999993,1,Storm,1.6221477207111847,1,1,1,0,Light,14.4725,4.7817902,0
2023-09-08 10:00:00+00:00,20.172499,3.319036,0.0,0.0,0.0,1.1384199,2023,9,8,10,4,0,Morning,Fall,Warm,-0.5,1,Calm,0.3429971533903217,0,0,0,0,,20.172499,0.3319036,1
2023-12-03 03:00:00+00:00,6.0725,3.5455887,0.0,0.0,0.0,4.379589,2023,12,3,3,6,1,Night,Winter,Cold,0.0,0,Calm,1.2352219534093167,0,0,0,0,,5.919997678520776,4.35455887,0
2023-01-01 18:00:00+00:00,11.6225,17.399586,0.0,0.0,0.0,22.077717,2023,1,1,18,6,1,Evening,Winter,Mild,0.3499999999999996,1,Strong,1.2688645005691517,1,0,0,0,,11.6225,1.7399586,1
2023-08-10 06:00:00+00:00,20.0225,9.605998,0.0,0.0,0.0,22.91026,2023,8,10,6,3,0,Morning,Summer,Warm,-0.6499989999999976,1,Light breeze,2.384995291483509,0,0,0,0,,20.0225,0.9605998,1
2023-12-22 08:00:00+00:00,-5.3775,10.823973,0.0,0.0,0.0,22.101183,2023,12,22,8,4,0,Morning,Winter,Freezing,-0.3000000000000007,0,Moderate,2.041873441480314,0,0,0,0,,-9.98752159454348,5.0823973,0
2023-02-06 06:00:00+00:00,2.0725,10.883676,0.0,0.0,0.0,26.28,2023,2,6,6,0,0,Morning,Winter,Cold,0.0999998999999998,0,Moderate,2.414625352684149,0,0,0,0,,-1.046786664183165,5.0883676,0
2023-11-10 10:00:00+00:00,6.9725,5.815978,0.0,0.0,0.0,16.263872,2023,11,10,10,4,0,Morning,Fall,Cold,0.3500000000000005,0,Light breeze,2.7964122285194337,0,0,0,0,,6.047999001700557,4.5815978,0
2023-09-19 06:00:00+00:00,14.9725,14.458382,0.0,0.0,0.0,29.644857,2023,9,19,6,1,0,Morning,Fall,Mild,-0.5,1,Moderate,2.0503578477868407,0,0,0,0,,14.9725,1.4458382,1
2023-03-30 02:00:00+00:00,5.0225,21.434364,0.0,0.0,0.0,36.932915,2023,3,30,2,3,0,Night,Spring,Cold,-0.4000000000000003,0,Storm,1.7230702529825472,1,0,0,0,,0.9265639908147184,6.1434364,0
2023-01-10 09:00:00+00:00,0.072500005,10.105681,0.0,0.0,0.0,22.89611,2023,1,10,9,1,0,Morning,Winter,Cold,0.200000005,0,Moderate,2.265667202437916,0,0,0,0,,-3.255637248109481,5.0105681,0
2023-10-14 08:00:00+00:00,10.0225,5.8048253,0.0,0.0,0.0,14.618837,2023,10,14,8,5,1,Morning,Fall,Mild,-0.2999999999999989,1,Light breeze,2.5183939644143982,0,0,0,0,,10.0225,0.58048253,1
2023-09-14 12:00:00+00:00,17.922499,12.979984,0.0,0.0,0.0,18.899143,2023,9,14,12,3,0,Afternoon,Fall,Mild,1.100000999999999,1,Moderate,1.456022056729808,0,0,0,0,,17.922499,1.2979984,1
2023-01-05 03:00:00+00:00,11.0725,3.96,0.0,0.0,0.0,8.759178,2023,1,5,3,3,0,Night,Winter,Mild,-0.1500000000000003,1,Calm,2.2119136363636365,0,0,0,0,,11.0725,0.396,1
2023-10-24 09:00:00+00:00,4.6725,7.072878,0.0,0.0,0.0,12.496718,2023,10,24,9,1,0,Morning,Fall,Cold,-0.4499999999999993,0,Light breeze,1.7668504956539617,0,0,0,0,,3.008736200008568,4.7072878,0
2023-12-17 00:00:00+00:00,4.3725,9.0,0.0,0.0,0.0,24.842607,2023,12,17,0,6,1,Night,Winter,Cold,0.0999999999999996,0,Light breeze,2.760289666666667,0,0,0,0,,2.141649549002556,4.9,0
2023-04-14 15:00:00+00:00,25.7725,5.0911684,0.0,0.0,0.0,5.8603754,2023,4,14,15,4,0,Afternoon,Spring,Warm,1.6000010000000024,0,Light breeze,1.1510865364422045,0,0,0,0,,25.7725,4.50911684,0
2023-05-09 12:00:00+00:00,13.2725,9.885262,0.0,0.0,0.0,14.578888,2023,5,9,12,1,0,Afternoon,Spring,Mild,2.3500000000000014,1,Light breeze,1.474810480491058,0,0,0,0,,13.2725,0.9885262,1
